names,visualisingdata.com,graphicsociology,blog.oecdfactblog.org,datablog,datavisualization.ch,dataspora.com/blog,flowingdata.com,infosthetics.com,visualcomplexity.com/vc,visualjournalism.com,chartporn.org,visualizing.org,createdigitalmotion.com,news.designlanguage.com,xkcd.com,blog.wolframalpha.com,brainpickings.org,bang.clearscience.info,radar.oreilly.com,creativeapplications.net,informationisbeautiful.net,fellinlovewithdata.com,blogs.wsj.com/numbersguy,getprismatic.com,petewarden.typepad.com,indiemaps.com/blog,benfry.com/writing,serialconsign.com,perceptualedge,excelcharts.com/blog/posts,datajournalismblog.com,eagereyes.org,thefunctionalart.com,good.is/infographics,ilovecharts.tumblr.com,dailyinfographic.com,infographicsarchive.com,visualoop.tumblr.com,visualizingeconomics.com,spatialanalysis.co.uk,storiesthroughdata,sethssources.wordpress.com,datawrangling.com,infoisbeautifulawards,xblog,interactive-infographics.com,thewhyaxis.info,ideasillustrated.com/blog,Ben Fry,Daniel A.,David McCandless,Jer Thorp,Lisa Strausfeld,Manuel Lima,Marcos Weskamp,Moritz Stefaner,Stefanie Posavec,Santiago Ortiz,Jen Lowe,Jason Davies,Mike Bostock,Willem Tulp,Martin Wattenberg,Edward Tufte,Jonathan Harris,Eric Fischer,Fernanda Viegas,Jerome Cukier,Jeff Clark,Nicolas Garcia,Gregor Aisch,Ben Shneiderman,Francesco Franchi,Christopher Warnow,Irene Ros,Lev Manovich,Nicholas Felton,Szucs Krisztina,Stephen Wolfram,Scott Murray,Matthew Ericson,Mahir M.,Jim Vallandingham,Martin Oberhaeuser,Benedikt Groß,Katy Börner,Rachel Binx,Aaron Koblin,Golan Levin,Applied Works,BERG,Bestiario,Catalogtree,Bloom,Density Design,Envis Precisely,Field,Flink Labs,InfoMotor,Interactive Things,Ito World,JESS3,Juice Analytics,Oblong Industries,Periscopic,Pitch Interactive,Potion Design,Rhiza Labs,Seed Media,Taco Labs,Vizzuality,OOM,FFunction,Plaid,Visup,Data Republic,Data Market,NYT labs,tracemedia,stamen,R,Gephi,Quadrigram,Many Eyes,Tableau Software,Plot.io,infogr.am,Google chart,Gapminder,d3,Infovis,wordle,wolfram|alpha,create.visual.ly,Polychart,Miso,envision,geocommons,timeline.verite,DataKind,Visual Complexity,Visualize this,visual display,Visualizing Data,The visual
tools,5,0,0,0,1,0,14,0,1,0,0,16,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,13,1,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,0,0,0,0,0,1,0,14,4,0,0,0,1,0,0,1,0,0,0,1,0,4,0,2,2,10,28,0,22,25,9,33,19,7,3,4,15,19,32,10,25,0,18,19,0,0,2,0,0,0
interactive,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,8,0,2,1,0,6,15,0,4,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,26,0,0,26,33,22,2,9,1,3,0,0,41,0,0,22,0,1,0,25,19,6,15,1,1,0,1,0,1,1,0,0,0,4,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0
infographic,4,2,0,0,4,0,6,4,1,13,4,17,0,9,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,1,4,2,2,6,25,27,25,4,2,0,0,0,1,0,0,2,2,9,1,8,0,0,0,1,2,2,0,0,0,0,2,0,2,0,2,1,0,1,0,2,0,3,0,0,0,18,0,0,0,1,0,0,14,0,0,0,0,0,2,0,1,4,0,8,0,0,0,0,1,0,7,1,0,5,3,1,0,0,0,3,0,5,0,0,0,0,0,0,3,0,0,1,8,17,0,21,0,0,1,2,1,0,22,0,1,0,2,0,0,0,6,12,0,0
research,1,6,0,0,0,3,0,1,1,2,0,0,0,0,0,6,0,0,4,1,0,17,6,0,2,0,1,24,1,0,0,6,0,0,0,8,0,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,7,0,0,0,0,10,0,20,0,0,0,25,0,3,0,0,32,0,0,0,46,0,0,0,0,0,0,0,0,0,5,0,1,0,0,20,1,0,1,12,0,0,1,0,0,0,0,0,1,1,0,0,0,3,9,0,0,0,0,0,0,24,25,0,0,0,1,5,0,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0,0,1,0,1,0,0
agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,38,38,1,11,9,2,0,2,12,0,28,0,30,2,0,22,2,5,0,6,0,17,1,24,26,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,0,0,0,0,0,0,0,1,5,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,72,63,0,0,0,19,50,17,0,38,0,0,0,0,0,0
maps,1,1,0,1,0,0,0,2,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,2,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,5,0,1,0,0,1,0,0,43,0,0,0,0,0,0,21,0,0,21,0,0,0,0,1,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
webdesign,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,31,0,0,0,1,1,0,3,13,0,30,2,0,0,0,5,1,0,1,0,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,0,0,13,0,0,0,2,1,23,1,12,5,21,1,1,3,0,1,15,0,14,0,1,16,0,0,0,13,0,9,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
technology,0,0,0,1,0,0,1,12,0,0,0,0,6,0,0,1,12,0,40,27,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,20,0,3,2,0,1,0,0,0,0,0,0,0,0,1,35,1,0,7,9,20,0,0,0,0,0,0,0,0,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0
visualisation,14,0,1,2,2,0,9,2,1,5,2,1,1,0,0,0,0,4,0,0,0,2,0,0,0,3,8,1,1,5,3,4,0,1,0,0,0,1,0,11,0,0,0,1,1,0,6,3,0,0,4,1,0,0,3,1,1,1,3,0,9,1,4,0,0,0,4,2,2,1,7,1,0,0,0,2,1,0,0,0,2,0,0,1,2,0,0,1,0,0,0,2,0,8,1,0,0,14,0,1,2,1,4,0,1,0,0,1,0,0,5,7,4,0,0,0,2,0,2,1,1,4,1,15,0,6,2,0,0,3,2,0,0,2,1,6,0,2,1,5,1,2,1,0,1
programming,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,4,3,0,0,0,0,15,15,31,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,10,0,3,9,0,1,2,0,0,16,0,19,0,4,0,0,0,2,2,0,0,0,0,0,8,0,0,2,1,0,0,0,0,4,0,0,15,18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,12,0,1,1,0,0,0,0,2,2,0,0,0,0,1,3,0,0
software,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,12,20,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,15,0,0,0,0,0,4,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,23,31,1,8,25,1,2,1,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0
graphic,0,0,0,0,1,0,1,4,1,4,0,10,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,11,0,0,0,0,0,1,1,0,0,0,1,0,2,0,22,0,0,0,10,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,20,0,0,0,23,0,0,0,9,4,0,15,8,0,0,1,0,11,0,1,25,0,16,0,3,0,0,2,0,1,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
